Index, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09, Ch10
49,22079.109375,18712.40234375,35736.01953125,32769.70703125,50634.53125,15569.591796875,27198.88671875,23217.05859375,0,0
50,22106.052734375,18789.24609375,35764.58203125,32774.33203125,50699.09375,15703.4658203125,27161.52734375,23121.978515625,0,0
51,22152.666015625,18827.296875,35828.6875,32732.990234375,50755.125,15875.865234375,27114.490234375,23014.046875,0,0
52,22153.09375,18765.880859375,35837.60546875,32693.38671875,50719.67578125,15848.4482421875,27127.556640625,23044.109375,0,0
53,22113.37109375,18701.412109375,35782.5546875,32722.640625,50650.60546875,15664.412109375,27182.74609375,23165.01171875,0,0
54,22077.349609375,18709.255859375,35736.63671875,32766.390625,50633.6484375,15571.6669921875,27203.943359375,23217.51171875,0,0
55,22102.140625,18788.625,35765.89453125,32772.96875,50699.64453125,15708.8046875,27165.10546875,23120.619140625,0,0
56,22154.380859375,18831.27734375,35831.29296875,32736.08984375,50757.58203125,15877.9873046875,27119.853515625,23009.208984375,0,0
57,22156.953125,18769.93359375,35835.21875,32692.650390625,50719.29296875,15848.4482421875,27130.775390625,23040.10546875,0,0
58,22113.65625,18702.24609375,35778.88671875,32716.15625,50645.8046875,15661.8359375,27178.57421875,23166.515625,0,0
59,22088.98046875,18720.53125,35739.4921875,32767.203125,50634.38671875,15577.53125,27198.150390625,23209.40625,0,0
60,22108.078125,18798.49609375,35765.08203125,32773.42578125,50694.54296875,15711.7392578125,27158.90625,23109.056640625,0,0
61,22152.427734375,18830.755859375,35827.6875,32731.01171875,50750.6171875,15882.1123046875,27115.681640625,23013.80859375,0,0
62,22161.74609375,18773.9375,35838.08203125,32693.150390625,50720.17578125,15854.263671875,27129.65234375,23049.640625,0,0
63,22125.4375,18712.927734375,35788.0859375,32722.85546875,50647.95703125,15668.607421875,27178.791015625,23165.587890625,0,0
64,22089.244140625,18726.18359375,35740.6171875,32768.9921875,50632.86328125,15574.8857421875,27194.599609375,23213.38671875,0,0
65,22108.65234375,18799.40234375,35768.63671875,32775.86328125,50695.5625,15708.9248046875,27155.974609375,23117.568359375,0,0
66,22156.453125,18834.85546875,35831.3359375,32736.08984375,50751.90625,15879.8720703125,27110.43359375,23013.85546875,0,0
67,22155.40625,18770.552734375,35836.17578125,32690.8125,50716.09375,15846.5390625,27120.306640625,23044.255859375,0,0
68,22115.46875,18704.296875,35779.3359375,32718.015625,50645.2109375,15661.669921875,27172.94921875,23168.494140625,0,0
69,22082.49609375,18720.65234375,35738.375,32767.96484375,50630.38671875,15574.71875,27194.046875,23215.009765625,0,0
70,22105.98046875,18791.677734375,35763.38671875,32774.1171875,50696.6171875,15707.9482421875,27160.646484375,23124.005859375,0,0
71,22150.921875,18827.490234375,35826.3046875,32731.583984375,50750.5234375,15878.4404296875,27112.369140625,23013.974609375,0,0
72,22158.71875,18763.759765625,35836.17578125,32691.412109375,50717.36328125,15849.234375,27121.927734375,23043.896484375,0,0
73,22122.16796875,18700.71875,35783.79296875,32721.234375,50647.05078125,15666.0810546875,27171.18359375,23163.890625,0,0
74,22087.671875,18718.48046875,35740.76171875,32771.78125,50637.25,15579.8935546875,27198.9375,23211.458984375,0,0
75,22109.583984375,18795.37109375,35767.4375,32778.3125,50699.9296875,15715.9111328125,27163.603515625,23122.66796875,0,0
76,22157.599609375,18831.087890625,35832.3125,32737.234375,50755.125,15882.2314453125,27114.228515625,23013.833984375,0,0
77,22161.24609375,18764.880859375,35836.76953125,32693.462890625,50716.14453125,15848.0419921875,27121.90234375,23039.822265625,0,0
78,22125.79296875,18705.822265625,35786.4609375,32721.474609375,50650.9296875,15667.630859375,27181.009765625,23168.328125,0,0
79,22090.365234375,18718.078125,35742.86328125,32768.6796875,50636.82421875,15582.3720703125,27206.115234375,23215.24609375,0,0
80,22109.677734375,18791.4375,35770.01953125,32772.44921875,50697.1171875,15712.90625,27165.583984375,23121.62109375,0,0
81,22153.6875,18827.677734375,35828.28125,32728.865234375,50751.78125,15885.8076171875,27119.63671875,23015.572265625,0,0
82,22153.140625,18766.025390625,35836.41796875,32686.927734375,50716.5234375,15859.4375,27136.99609375,23050.787109375,0,0
83,22115.208984375,18700.625,35781.40625,32714.796875,50650.05078125,15671.6123046875,27187.921875,23177.505859375,0,0
84,22080.806640625,18711.08984375,35734.9375,32755.99609375,50633.10546875,15583.396484375,27207.421875,23229.671875,0,0
85,22102.546875,18786.431640625,35761.55078125,32760.146484375,50693.85546875,15719.5107421875,27165.15234375,23120.80859375,0,0
86,22139.599609375,18817.04296875,35816.45703125,32712.271484375,50747.875,15888.740234375,27116.896484375,23017.744140625,0,0
87,22139.859375,18754.865234375,35822.70703125,32669.76171875,50709.4609375,15850.6875,27127.697265625,23050.787109375,0,0
88,22100.380859375,18689.349609375,35769.9375,32695.775390625,50637.1484375,15668.9189453125,27177.98046875,23171.09375,0,0
